title,artist,top genre,year,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
Upgraded Resistance,We Are Magonia,cyberpunk,2020,2020‑12‑03,125,67,37,-8,7,17,270,0,8,31
The Eyes of Darkness,Midnight Danger,synthwave,2020,2020‑09‑26,126,92,45,-7,10,29,255,0,4,29
Slaughterhouse,We Are Magonia,cyberpunk,2019,2020‑12‑04,148,88,42,-8,9,18,251,0,15,27
The Prowler,Gost,dark clubbing,2018,2019‑12‑26,133,98,52,-2,23,44,248,0,13,26
Better the Devil You Know,Street Cleaner,cyberpunk,2019,2021‑03‑19,100,58,56,-10,13,4,250,0,4,26
Blood And Boobies,Nightstop,cyberpunk,2020,2020‑12‑03,150,75,47,-8,32,46,206,0,12,25
Bleed Out,Donbor,dark clubbing,2020,2020‑12‑03,140,98,50,-3,12,32,250,0,4,25
The Tower,Occams Laser,dark clubbing,2021,2021‑01‑30,155,98,44,-4,8,36,240,0,37,25
Fear,UltraKiller,,2021,2021‑03‑19,137,87,56,-7,11,23,262,0,18,25
Corrupted,Battlejuice,dark clubbing,2019,2020‑01‑22,122,92,46,-6,39,61,235,0,4,24
Chainsaw Revenge,Absolute Valentine,dark clubbing,2020,2021‑03‑15,120,88,50,-5,35,27,168,1,6,24
Robotica Satanica,Vulta,darksynth,2017,2019‑08‑03,150,97,47,-2,9,8,252,0,11,23
Satanic Worship,We Are Magonia,cyberpunk,2018,2020‑12‑21,135,77,56,-5,9,35,281,2,7,23
The Kill Switch,Gregorio Franco,cyberpunk,2018,2020‑12‑20,130,91,39,-7,22,15,232,0,7,23
Electric Death Machine,Neoslave,cyberpunk,2019,2019‑08‑03,135,92,58,-4,69,10,200,1,5,23
The Maiden,Electric Dragon,dark clubbing,2018,2020‑12‑04,145,93,42,-5,10,21,192,0,10,22
AMPLIFIER,Winstonw,,2021,2021‑04‑06,100,88,51,-5,21,76,186,0,3,21
Sinner,Baddon,synthwave brasileiro,2020,2020‑12‑29,170,96,49,-4,10,77,254,0,7,21
Brute Blaster,Isidor,darksynth,2020,2021‑03‑19,150,86,51,-6,36,19,246,0,6,20
Terror,We Are Magonia,cyberpunk,2018,2020‑12‑04,120,83,59,-5,17,4,297,1,4,19
Nightmare Fuel,Masked,dark clubbing,2018,2020‑12‑03,70,94,28,0,33,11,229,0,6,19
A Mark on Me,Funeral Director,darksynth,2020,2020‑11‑02,104,70,33,-7,8,4,292,0,4,19
Demon's Lair,Battlejuice,dark clubbing,2020,2020‑12‑03,180,66,45,-5,10,16,223,0,3,18
Bad Ending,Cartridge 1987,synthwave,2021,2021‑02‑23,104,63,60,-7,17,20,344,3,8,18
Lurker,Electric Dragon,dark clubbing,2018,2019‑12‑25,134,90,50,-6,12,14,282,0,4,17
Phantasmagorica,King Stephen,dark clubbing,2020,2020‑12‑03,150,80,32,-7,31,32,318,0,12,17
Like a Ghost,Nefas,,2021,2021‑03‑23,131,83,22,-5,15,8,367,0,6,17
Wolf's Blood,Electric Dragon,dark clubbing,2016,2020‑12‑04,130,98,54,-5,13,11,277,0,5,16
Eternal Nightmare,Gregorio Franco,cyberpunk,2018,2020‑12‑21,130,85,42,-7,13,19,207,0,5,16
The Rapture,Occams Laser,dark clubbing,2019,2020‑12‑03,100,88,41,-8,11,28,202,0,34,16
Planète Sauvage,La Vie Sauvage,,2019,2021‑03‑26,106,60,56,-12,14,4,199,0,5,16
Dose (Grendel Remix),Ophelia,aggrotech,2021,2021‑02‑10,120,95,68,-10,9,62,280,0,4,16
Chainsaw Slasher,VHS Glitch,cyberpunk,2017,2019‑12‑30,135,93,66,-10,5,40,277,0,6,15
L.U.S.T Murderer,VileMoral,,2019,2020‑01‑22,130,92,47,-7,20,14,284,0,6,15
The Disciple,Karl Casey,dark clubbing,2020,2020‑09‑24,160,94,56,-7,10,21,246,0,3,15
Already Dead,Cyberoptics,filthstep,2021,2021‑03‑29,130,91,45,-8,11,7,214,0,4,15
Electric Guillotine,We Are Magonia,cyberpunk,2017,2020‑11‑10,120,69,41,-6,46,14,234,0,4,14
Ground Is the Limit,We Are Magonia,cyberpunk,2018,2021‑03‑19,115,85,60,-5,14,17,256,0,4,14
Soundtrack for Your Retro Future Murder,Reznyck,,2018,2020‑12‑04,134,81,30,-6,16,26,243,0,5,14
Death Valley,Mskra,synthwave brasileiro,2019,2021‑04‑06,100,60,56,-7,10,6,311,1,7,14
Club Massacre,7DD9,,2019,2020‑12‑03,83,79,54,-12,8,15,254,4,4,14
Successor,STRNGR,dark clubbing,2020,2021‑03‑19,128,93,49,-6,94,6,315,0,23,14
Still Torn (Synthwave),Set to Change,french hardcore,2021,2020‑11‑26,160,92,34,-4,21,20,258,0,6,14
Slaywave,Anxietygod,darksynth,2018,2020‑01‑22,128,92,59,-9,30,76,150,0,6,13
Corruption,MAGNAVOLT,synthwave,2019,2020‑03‑30,130,80,50,-11,9,12,262,3,5,13
Dungeon Keeper - UltraKiller Remix,MAGNAVOLT,synthwave,2020,2021‑02‑07,132,94,61,-7,38,30,232,15,14,13
Victims,Fixions,dark clubbing,2020,2020‑11‑10,114,90,51,-5,11,14,309,0,6,13
Night Prey,Grimlin,darksynth,2018,2019‑12‑26,140,93,59,-6,20,68,289,0,4,12
Demonic Possession,Stieglitz,darksynth,2018,2019‑08‑03,130,99,46,-7,25,23,151,0,8,12
FutureHell,Devilrazor,,2019,2019‑12‑26,115,69,64,-9,17,28,285,0,4,12
Chronology of Terror,Mr Creep,,2020,2021‑02‑23,95,84,53,-9,9,37,248,2,4,12
Ripped Apart in the Park,Terrortron,horror synth,2016,2019‑12‑26,138,76,64,-9,11,38,214,1,3,11
The Slasher,Hubrid,dark clubbing,2017,2019‑12‑25,135,79,41,-5,10,13,203,1,23,11
Army of the Dead,Glitch Black,darksynth,2018,2019‑12‑25,140,98,59,-4,50,47,272,0,10,11
"Death Road, Act. 2",morgan willis,synthwave,2019,2019‑12‑13,130,92,54,-5,10,7,258,5,6,11
Midnight Blood,Masked,dark clubbing,2020,2020‑09‑24,124,85,56,-5,8,19,244,0,3,11
Quatrain,GodcompleX,,2021,2021‑03‑04,122,70,51,-10,11,13,224,0,4,11
Pandæmonium,SeYSMIC,,2019,2020‑12‑04,134,56,43,-6,34,22,312,0,6,10
Shock! Horror!,Ectoplague,,2020,2020‑12‑19,72,57,43,-7,32,27,168,0,4,10
Nightride with the Demon,Mr Creep,,2021,2021‑03‑14,125,86,60,-7,21,44,207,0,5,10
Devil Inside Show,Mr Creep,,2021,2021‑03‑14,125,93,62,-7,41,11,234,0,5,10
Asylum,Spadwave,,2021,2021‑03‑11,90,59,48,-10,13,4,289,6,3,10
Ski Mask,Hyboria,,2017,2019‑08‑03,164,72,36,-13,11,4,269,5,8,9
To the Grave,Funeral Director,darksynth,2018,2020‑12‑04,134,68,47,-10,9,46,225,1,4,9
Drive to Avoid Death,NightmareOwl,,2019,2020‑12‑19,130,59,42,-9,14,6,227,0,4,9
Neon Cult,Neon Cult,,2020,2021‑01‑28,130,87,50,-4,11,11,279,0,7,9
Time to Leave,Stereo Choir,,2021,2021‑03‑19,170,69,60,-14,10,23,204,0,7,9
Unspeakable Horror,Draven,,2021,2021‑03‑01,120,94,56,-7,33,6,202,0,4,9
Our Burning Churchyards,Funeral Director,darksynth,2018,2020‑12‑21,121,79,41,-6,13,12,242,2,5,8
God Killer,Dreddd,cyberpunk,2019,2019‑08‑03,147,74,47,-6,51,7,189,0,3,8
Labyrinthine,PolarisRadio,,2019,2020‑01‑22,135,96,44,-6,20,32,185,0,4,8
Succubus - Hubrid Remix,Hubrid,dark clubbing,2020,2020‑12‑22,120,96,60,-4,23,34,130,0,7,8
Darksynth Dracula,L'Empereur,,2021,2021‑02‑24,145,95,45,-12,14,26,291,1,6,8
The Crescent Heights Slasher,Ectoplague,,2020,2021‑04‑08,109,64,45,-8,15,15,274,0,3,8
Sharkwave,The Great Wight Dread,,2021,2021‑04‑09,127,95,51,-10,24,4,213,1,7,7
Run for Your Life,MEGAHAMMER,cyberpunk,2016,2020‑01‑22,75,84,35,-12,71,22,80,0,5,7
Goezia,Psychevision,,2020,2020‑07‑15,125,88,62,-8,12,44,195,7,19,7
Furious Gods,Slvmber,synthwave,2020,2020‑12‑03,123,99,56,-5,29,30,215,0,7,7
Other Side (Analog Dreams),Space Tourist,,2020,2021‑03‑04,113,64,64,-10,26,18,255,55,3,7
Wall Jump,Synthase,,2021,2021‑02‑07,120,74,54,-11,31,4,212,7,5,7
Demonwave,Succubist,,2017,2019‑08‑03,130,80,54,-5,10,33,225,3,3,6
PURE FUCKING DARKNESS,Nargathrond,,2021,2021‑04‑03,114,83,52,-12,10,11,314,3,4,6
The Devil's Night,Inhumantis,,2018,2020‑10‑28,95,81,60,-2,11,7,244,0,8,6
Skyride,The Neon Syndicate,,2019,2021‑02‑19,95,85,42,-6,19,56,257,0,3,6
Slayers from Hell,Bloodpanic,,2020,2020‑12‑29,132,92,57,-7,9,39,229,0,5,6
Night Run,hvh,,2020,2020‑12‑28,125,67,59,-10,18,8,123,0,6,6
The Old Gods,Cyberghost,,2021,2021‑03‑15,75,70,41,0,59,26,250,0,3,6
Adamic Complex,CADMUS11,,2021,2021‑03‑23,160,90,49,-6,12,21,326,1,7,5
No Escape No End,Nicky Rocksteady,,2021,2021‑02‑23,102,66,64,-9,11,3,335,0,4,5
Love Is Freedom's Son,Inizio Del Rumore,,2020,2021‑03‑04,103,60,44,-13,13,29,291,5,4,4
Scary Stories to Tell in the Dark,King Stephen,dark clubbing,2019,2021‑04‑14,140,91,46,-6,7,30,356,0,10,3
Destroy All Humans,Deadly Avenger,big beat,2019,2020‑01‑22,110,93,62,-10,54,55,227,27,6,0
Drift,DEADLIFE,dark clubbing,2020,2020‑12‑22,124,84,63,-6,8,4,307,0,5,44
Low Life on the Highway,Battlejuice,dark clubbing,2019,2021‑03‑15,125,93,44,-5,14,34,201,0,3,44
Highway Violence,Quixotic,synthwave,2019,2020‑12‑21,125,69,62,-9,10,11,332,4,7,35
Fire and Gasoline,SeYSMIC,,2019,2021‑01‑25,117,77,44,-5,27,11,206,0,4,34
Burnout,Rogue VHS,,2020,2021‑04‑13,125,90,64,-9,18,17,230,1,5,34
Lost Highway,Marvel83',synthwave,2019,2020‑12‑21,100,65,47,-8,9,4,259,2,3,32
City Nights,Zak Vortex,,2021,2021‑03‑01,115,73,55,-6,8,5,200,0,3,29
Neonoir,Alex Boychuk,,2021,2021‑03‑13,96,78,53,-6,13,16,255,0,2,28
Nitedrive (Retro 80's Music),Anthon Jean-Paul,,2021,2021‑04‑01,112,82,47,-8,13,30,170,3,3,28
Power Drift,Zak Vortex,,2021,2021‑04‑05,94,87,41,-7,17,32,184,1,4,28
City Drive,Zak Vortex,,2021,2021‑01‑10,120,88,53,-10,25,29,224,0,3,27
Outpost X,Neon.Deflector,,2021,2021‑02‑11,115,74,47,-10,11,9,293,0,3,26
Dream Warrior,Zak Vortex,,2021,2021‑03‑05,90,86,37,-6,15,14,278,0,3,25
DANCE,Runaway Droid,,2021,2021‑03‑29,100,76,54,-11,8,25,209,0,3,25
Calm Night,One Dream,,2020,2021‑04‑14,108,56,50,-13,7,7,344,0,5,23
Full Throttle,Neon Nox,swedish synth,2020,2021‑01‑02,115,90,54,-9,14,13,205,0,4,23
Super Fast,One Dream,,2020,2020‑12‑21,156,73,49,-11,18,41,197,0,9,23
Formula 2080,Cassetter,dark clubbing,2021,2021‑02‑07,145,88,56,-6,39,42,248,0,25,23
Anti-Gravity Racer,Cassetter,dark clubbing,2019,2020‑12‑29,120,85,68,-6,12,44,252,0,5,23
Laika,Stereov,,2021,2021‑03‑22,160,43,61,-12,14,48,295,2,5,23
Shadow Instinct,Miles Matrix,popwave,2021,2021‑03‑14,120,67,57,-12,15,70,214,1,3,23
Power Unleashed,FacexHugger,darksynth,2020,2021‑01‑02,110,84,57,-6,7,26,301,0,4,22
Distances,North Innsbruck,,2020,2021‑02‑23,210,40,46,-11,8,15,289,67,3,21
Back In 198X,Olexandr Ignatov,,2021,2021‑01‑16,95,90,66,-8,5,71,183,14,5,21
Voltage,Nightfall Heroes,,2021,2021‑02‑07,200,80,53,-6,16,10,197,0,8,20
Shredracer,Quixotic,synthwave,2019,2020‑12‑22,124,88,56,-9,92,7,308,0,12,19
Dream Station,Otrebor,,2021,2021‑03‑10,100,48,48,-9,24,11,156,13,3,19
Petulance,Touchfreak,,2021,2021‑03‑11,99,84,54,-7,11,25,245,7,4,19
Never Look Back,Edictum,synthwave,2020,2021‑03‑10,126,79,56,-10,34,34,343,0,3,19
Drive,BARx,,2019,2020‑12‑22,160,69,59,-7,11,54,408,0,3,19
Night's Coming,Kiomono,,2020,2021‑01‑25,107,77,59,-6,9,4,339,1,4,18
Highway 707,Odysayh,,2019,2020‑12‑21,124,65,55,-10,18,12,384,0,3,17
Canyon Cruise,Android Automatic,synthwave,2020,2021‑01‑02,174,66,55,-10,18,28,235,0,4,17
Lightning Highway,Night Rider 87,,2019,2020‑12‑29,140,71,64,-8,8,44,279,5,4,16
Midnight Dive,The Neon Syndicate,,2019,2021‑01‑25,110,92,51,-7,10,76,240,0,5,16
Technologie,Mskra,synthwave brasileiro,2019,2021‑04‑06,90,52,47,-12,29,18,284,0,5,16
Chicane,Zayaz,spacewave,2019,2020‑12‑29,100,82,51,-12,10,10,311,2,3,15
Velocity,Otrebor,,2020,2021‑03‑07,122,90,59,-8,19,25,230,7,4,15
Testarossa,Am 1984,,2020,2021‑01‑02,130,76,65,-9,11,26,316,0,3,15
Transmission,Yoru,,2019,2021‑01‑02,156,89,39,-8,8,45,255,0,3,15
Beyond The Oort Cloud,Oblidivm,,2021,2021‑03‑12,130,88,52,-7,36,54,332,3,3,15
The Strongest,Yoru,synthwave,2020,2021‑04‑14,138,88,51,-7,5,38,221,0,4,14
Final Lap,The Racers,,2020,2020‑12‑21,98,69,41,-8,10,4,311,0,5,14
The Storm,Space Tourist,,2021,2021‑03‑07,110,45,65,-15,9,29,227,21,4,14
Sixth Gear,Biodrive,darksynth,2019,2021‑01‑02,110,92,49,-9,12,15,276,0,4,13
Sorry Tiger,BillyBones,,2021,2021‑04‑05,95,59,31,-9,39,15,269,69,4,13
Journey,Adatronix,,2021,2021‑03‑29,110,90,59,-5,6,25,230,3,3,13
Supercharged,Niky Nine,dark clubbing,2021,2021‑03‑05,93,79,48,-7,10,12,222,0,4,12
In The Speed Of Light,Fury Weekend,dark clubbing,2021,2021‑01‑06,125,96,57,-5,39,31,276,0,18,12
Ride With Me,808weeds,,2021,2021‑04‑05,149,75,76,-9,6,98,205,6,5,12
Angel Road,SilverHawk,,2020,2020‑12‑21,160,96,44,-4,10,51,267,0,5,10
Automatic,Jotten,,2021,2021‑01‑18,126,95,46,-10,15,65,269,4,3,10
Norris,Simulakrum Lab,,2021,2021‑04‑06,120,72,57,-9,14,60,169,7,4,10
Horizon,Space Tourist,,2020,2021‑02‑13,105,44,59,-16,10,14,321,0,4,9
Acceleration,Konrad Celinski,,2019,2021‑01‑23,118,97,49,-4,33,23,198,0,19,8
Road Rage,Synthatiger,spacewave,2020,2020‑12‑29,135,93,56,-6,11,50,243,0,4,8
Showdown,Thorisson,icelandic electronic,2021,2021‑02‑25,108,86,59,-10,8,74,176,1,4,8
Main Race,Cyberwalker,,2019,2021‑01‑25,100,73,53,-12,32,4,333,0,3,7
The Collision,Kushna,,2021,2021‑02‑23,156,60,56,-7,12,20,209,28,4,7
Runaway Girl,valo.fisen,,2021,2021‑04‑08,100,73,52,-8,8,45,281,5,4,6
Vanish,Chatterless,,2021,2021‑03‑29,150,66,41,-10,7,12,190,7,3,6
Red Driver,Kizunaut,,2019,2021‑01‑02,95,80,59,-6,29,30,245,0,3,6
Dragon's Might,Legacy Man,,2021,2021‑03‑01,160,93,53,-5,12,78,349,0,5,6
Turbo Outrun,Tokyo Rat,,2021,2021‑02‑07,138,56,48,-10,26,38,198,0,3,5
Nothing Unexpected - Instrumental,Modeling,arkansas indie,2021,2021‑02‑24,135,93,46,-5,5,75,354,0,3,5
Post Break-Up Drive,Flipwav,,2020,2020‑12‑30,77,37,50,-17,29,4,212,16,4,4
Delorean,Mantus,,2021,2021‑03‑13,108,66,58,-12,12,15,191,8,3,4
Equinox,Ogster,,2020,2021‑03‑07,120,73,59,-11,32,23,268,0,4,4
Welcome to the Game,Vladmsorensen,,2020,2021‑01‑28,120,94,48,-5,23,24,269,44,3,4
Night Drive,Dreddd,cyberpunk,2019,2020‑12‑21,100,97,36,-8,29,24,192,0,3,4
Police Chase,SkelOne,cyberpunk,2021,2021‑02‑02,110,71,56,-8,9,36,259,0,3,4
Mirage,Cupidz,,2021,2021‑03‑04,120,82,65,-6,11,47,232,5,8,4
Neon City Lights,Midnight Driver,,2020,2021‑02‑07,124,64,62,-12,8,56,269,7,3,4
Highway,Telematix,,2019,2021‑01‑02,127,71,64,-9,34,74,287,0,4,4
Dark Sunrise,One Ticket To The Moon,,2020,2021‑04‑13,100,90,51,-7,12,25,243,0,35,3
From Spring to Summer,The 314,,2021,2021‑04‑13,194,77,54,-8,11,41,302,0,6,3
19942020 OutDrive,Inizio Del Rumore,,2020,2021‑03‑05,120,53,62,-13,12,11,286,1,3,3
Knights Of The Temple,L'Empereur,,2021,2021‑03‑04,142,68,45,-11,21,13,319,0,3,3
Unleash the Power,Alex Mitchell,,2021,2021‑04‑13,114,73,50,-10,58,16,248,0,3,2
Cruising,Space Tourist,,2020,2020‑12‑29,120,81,57,-7,21,4,339,2,4,2
Retro Generation,Cyber Monday,,2021,2021‑03‑11,115,69,55,-8,11,14,271,2,3,2
Viper '85,Netizen,,2020,2021‑02‑05,127,86,54,-8,26,30,246,0,7,2
Street Race,SkelOne,cyberpunk,2021,2021‑02‑02,100,80,52,-10,19,52,254,0,3,2
Ultraspeed Highway,Eightecs,,2020,2021‑03‑13,128,86,62,-6,8,75,225,0,5,2
Outer Space,Space Tourist,,2020,2021‑02‑13,190,56,42,-17,13,4,205,1,4,1
kotosynth,Gr!nge,,2021,2021‑04‑05,97,47,55,-15,6,13,249,2,5,1
The.sys,Seraphic Deviltry,,2021,2021‑03‑05,85,31,55,-16,12,16,264,4,3,1
L' Horizon,Collapse Project,,2021,2021‑02‑11,100,77,53,-8,8,29,256,13,4,1
Descender,Swolebybz,,2021,2021‑04‑05,100,60,54,-14,12,37,158,0,4,1
Overtake,Wave Traveller,,2021,2021‑03‑29,75,66,42,-10,17,38,179,10,3,1
Blue Corvette - Instrumental,Fat Koala Disorder,,2019,2021‑01‑20,94,44,74,-13,9,45,238,1,5,1
Turbo Boost,Jay Vintage,,2020,2021‑04‑06,114,85,52,-7,10,53,205,1,3,1
80s Retrowave Arcade,Eduard Perelyhin,,2021,2021‑04‑13,115,94,40,-6,14,39,123,0,4,0
Object For Pleasure,Gage Baggs,,2021,2021‑04‑13,150,39,60,-14,9,13,325,0,5,0
Turbio,Otrebor,,2020,2021‑03‑22,120,93,75,-9,8,4,328,3,7,0
The Past is The Future,Life Patterns,,2021,2021‑03‑22,95,63,48,-10,35,10,248,3,3,0
Rainfall,hvh,,2021,2021‑02‑10,82,52,46,-11,63,22,271,0,3,0
Heat,Fauch,,2021,2021‑01‑08,136,84,54,-6,10,28,267,0,4,0
Midnight Rider,Joseph Corey,,2021,2021‑03‑04,90,78,39,-10,35,31,231,17,3,0
Midnight Driver,KMX VII,,2021,2021‑03‑29,120,69,49,-8,16,31,227,0,5,0
Masha,Fauch,,2021,2021‑02‑12,130,90,60,-8,14,63,211,4,6,0
Turbo,Dwooswa,,2020,2021‑01‑12,130,81,55,-11,59,73,333,0,4,0
Birds Can Fly,Kristian Hilpert,,2021,2021‑03‑29,123,91,53,-8,50,78,286,0,4,0
Flaming Embers,Saros-FM,,2020,2021‑03‑11,160,52,48,-11,9,83,282,8,4,0
Awake,Vick Fatale,,2021,2021‑01‑25,120,74,61,-7,25,96,217,0,3,0
Sorcery,The Toxic Avenger,dark clubbing,2021,2021‑04‑15,111,86,52,-8,11,9,319,2,5,0
